ID,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2018-03928,1,0,0,1,1,0,0,0,0,0,0
2018-01600,0,0,1,0,1,0,0,0,0,0,0
2018-01767,1,0,0,1,1,0,0,0,0,0,0
2018-04303,1,0,0,1,1,0,0,0,0,0,0
2018-02699,1,0,0,1,1,0,0,0,0,0,0
2018-03006,1,0,0,1,1,0,0,0,0,0,0
2018-00149,0,0,0,0,1,0,0,0,1,0,0
2018-00221,0,0,1,0,1,0,0,0,0,0,0
2018-00323,1,0,0,1,1,0,0,0,0,0,0
2018-00641,1,0,0,1,1,0,0,0,0,0,0
2018-01963,1,0,0,1,1,0,0,0,0,0,0
2018-02297,1,0,0,0,0,0,0,0,1,0,0
2018-00359,0,0,0,0,1,0,0,0,1,0,0
2018-03383,1,0,0,1,1,0,0,0,0,0,0
2018-00176,1,0,0,1,1,0,0,0,0,0,0
2018-01560,1,0,0,1,1,0,0,0,0,0,0
2018-00896,1,1,0,0,0,0,1,0,0,0,0
2018-04246,0,0,0,0,1,0,0,0,1,0,0
2018-00960,1,0,0,1,1,0,0,0,0,0,0
2018-02526,1,0,0,1,1,0,0,0,0,0,0
2018-03384,0,0,0,0,1,0,0,0,1,0,0
2018-02539,0,0,1,0,1,0,0,0,0,0,0
2018-01216,1,0,0,0,0,0,0,0,1,0,0
2018-00611,0,0,0,0,1,0,0,0,1,0,0
2018-04361,0,0,0,0,1,0,0,0,1,0,0
2018-03525,1,0,0,0,1,0,1,0,0,0,0
2018-00432,1,0,0,1,1,0,0,0,0,0,0
2018-04201,0,0,0,0,1,0,0,0,1,0,0
2018-00642,0,0,1,0,1,0,0,0,0,0,0
2018-01840,1,0,0,1,1,0,0,0,0,0,0
2018-04325,1,0,0,1,1,0,0,0,0,0,0
2018-04187,1,0,0,1,1,0,0,0,0,0,0
2018-01000,1,0,0,0,0,0,0,0,1,0,0
2018-01553,1,0,0,1,1,0,0,0,0,0,0
2018-03501,1,0,0,1,1,0,0,0,0,0,0
2018-03634,0,0,0,0,1,0,0,0,1,0,0
2018-04110,1,0,0,1,1,0,0,0,0,0,0
2018-01229,0,0,1,0,1,0,0,0,0,0,0
2018-00045,1,0,0,1,1,0,0,0,0,0,0
2018-03653,1,0,0,1,1,0,0,0,0,0,0
2018-02458,0,0,1,0,1,0,0,0,0,0,0
2018-04297,0,0,1,0,1,0,0,0,0,0,0
2018-01010,1,0,0,1,1,0,0,0,0,0,0
2018-03199,1,0,0,1,1,0,0,0,0,0,0
2018-03130,1,0,0,1,1,0,0,0,0,0,0
2018-01069,0,0,0,0,1,0,0,0,1,0,0
2018-03090,0,0,1,0,1,0,0,0,0,0,0
2018-01329,0,0,0,0,1,0,0,0,1,0,0
2018-00661,1,0,0,1,1,0,0,0,0,0,0
2018-00693,1,0,0,1,1,0,0,0,0,0,0
2018-01382,1,0,0,1,1,0,0,0,0,0,0
2018-00891,1,0,0,1,1,0,0,0,0,0,0
2018-04273,1,0,0,1,1,0,0,0,0,0,0
2018-01681,1,0,0,1,1,0,0,0,0,0,0
2018-01179,1,0,0,1,1,0,0,0,0,0,0
2018-01468,1,0,0,1,1,0,0,0,0,0,0
2018-00380,0,0,1,0,1,0,0,0,0,0,0
2018-03293,1,0,0,1,1,0,0,0,0,0,0
2018-01736,0,0,1,0,1,0,0,0,0,0,0
2018-03013,1,0,0,1,1,0,0,0,0,0,0
2018-04306,0,0,1,0,1,0,0,0,0,0,0
2018-02816,1,0,0,1,1,0,0,0,0,0,0
2018-00167,1,0,0,1,1,0,0,0,0,0,0
2018-02421,1,0,0,0,0,0,0,0,1,0,0
2018-01675,0,0,0,0,1,0,0,0,1,0,0
2018-00948,1,0,0,1,1,0,0,0,0,0,0
2018-00684,0,0,0,0,1,0,0,0,1,0,0
2018-00822,1,0,0,1,1,0,0,0,0,0,0
2018-00537,1,0,0,1,1,0,0,0,0,0,0
2018-01333,1,0,0,1,1,0,0,0,0,0,0
2018-00859,1,0,0,1,1,0,0,0,0,0,0
2018-04230,1,0,0,1,1,0,0,0,0,0,0
2018-00194,1,0,0,1,0,0,0,0,0,0,0
2018-00569,1,0,0,0,0,0,0,0,1,0,0
2018-03492,1,0,0,1,1,0,0,0,0,0,0
2018-00496,0,0,1,0,1,0,0,0,0,0,0
2018-00153,1,0,0,1,1,0,0,0,0,0,0
2018-02257,0,0,1,0,1,0,0,0,0,0,0
2018-02319,1,0,0,0,0,0,0,0,1,0,0
2018-03214,0,0,1,0,1,0,0,0,0,0,0
2018-03068,1,0,0,1,1,0,0,0,0,0,0
2018-00206,1,0,0,1,1,0,0,0,0,0,0
2018-01724,1,0,0,1,1,0,0,0,0,0,0
2018-03734,1,0,0,1,1,0,0,0,0,0,0
2018-03291,0,0,1,0,1,0,0,0,0,0,0
2018-00217,1,0,0,1,1,0,0,0,0,0,0
2018-03722,0,0,1,0,1,0,0,0,0,0,0
2018-04020,1,0,0,0,0,0,0,0,1,0,0
2018-00406,1,0,0,1,1,0,0,0,0,0,0
2018-03078,1,0,0,1,1,0,0,0,0,0,0
2018-01857,1,0,0,1,1,0,0,0,0,0,0
2018-00785,1,0,0,1,1,0,0,0,0,0,0
2018-01981,0,0,1,0,1,0,0,0,0,0,0
2018-03642,1,0,0,1,1,0,0,0,0,0,0
2018-03391,1,0,0,1,1,0,0,0,0,0,0
2018-04354,1,0,0,1,1,0,0,0,0,0,0
2018-00203,1,0,0,1,1,0,0,0,0,0,0
2018-02740,1,0,0,1,1,0,0,0,0,0,0
2018-02450,1,0,0,0,0,0,0,0,1,0,0
2018-01540,1,0,0,1,1,0,0,0,0,0,0
2018-00317,1,0,0,1,1,0,0,0,0,0,0
2018-00742,0,0,1,0,1,0,0,0,0,0,0
2018-01566,1,0,0,1,1,0,0,0,0,0,0
2018-03044,0,0,1,0,1,0,0,0,0,0,0
2018-01262,1,0,0,0,0,0,0,0,1,0,0
2018-01601,1,0,0,1,1,0,0,0,0,0,0
2018-00052,1,0,0,0,0,0,0,0,1,0,0
2018-04113,0,0,1,0,1,0,0,0,0,0,0
2018-03246,1,0,0,1,1,0,0,0,0,0,0
2018-00253,1,0,0,1,1,0,0,0,0,0,0
2018-01765,0,0,1,0,1,0,0,0,0,0,0
2018-01421,1,0,0,1,1,0,0,0,0,0,0
2018-02534,0,0,0,0,1,0,0,0,1,0,0
2018-03833,1,0,0,0,0,0,0,0,1,0,0
2018-02707,1,0,0,1,1,0,0,0,0,0,0
2018-02689,1,0,0,0,0,0,0,0,1,0,0
2018-03583,1,0,0,1,1,0,0,0,0,0,0
2018-00485,0,0,1,0,1,0,0,0,0,0,0
2018-02692,1,0,0,1,1,0,0,0,0,0,0
2018-02312,0,0,0,0,1,0,0,0,1,0,0
2018-04365,0,0,0,0,1,0,0,0,1,0,0
2018-01280,1,0,0,1,1,0,0,0,0,0,0
2018-03922,0,0,1,0,1,0,0,0,0,0,0
2018-02280,1,0,0,1,1,0,0,0,0,0,0
2018-03757,0,0,1,0,1,0,0,0,0,0,0
2018-02901,1,0,0,1,1,0,0,0,0,0,0
2018-03584,1,0,0,1,1,0,0,0,0,0,0
2018-00293,0,0,0,0,1,0,0,0,1,0,0
2018-01518,1,0,0,1,1,0,0,0,0,0,0
2018-03892,1,0,0,1,1,0,0,0,0,0,0
2018-02008,1,0,0,0,0,0,0,0,1,0,0
2018-00958,1,0,0,1,1,0,0,0,0,0,0
2018-03904,1,0,0,1,1,0,0,0,0,0,0
2018-01108,0,0,0,0,1,0,0,0,1,0,0
2018-02549,1,0,1,0,0,0,0,0,0,0,0
2018-03792,1,0,0,1,1,0,0,0,0,0,0
2018-00783,1,0,0,1,1,0,0,0,0,0,0
2018-01236,0,0,1,0,1,0,0,0,0,0,0
2018-03505,1,0,0,1,1,0,0,0,0,0,0
2018-00506,1,0,0,0,0,0,0,0,1,0,0
2018-02263,0,0,0,0,1,0,0,0,1,0,0
2018-03094,0,0,1,0,1,0,0,0,0,0,0
2018-02040,1,0,0,1,1,0,0,0,0,0,0
2018-00924,1,0,0,1,1,0,0,0,0,0,0
2018-00239,0,0,1,0,1,0,0,0,0,0,0
2018-00342,1,0,0,1,1,0,0,0,0,0,0
2018-00817,1,0,0,1,1,0,0,0,0,0,0
2018-01991,0,0,0,0,1,0,0,0,1,0,0
2018-01480,0,0,0,0,1,0,0,0,1,0,0
2018-00067,1,0,0,1,1,0,0,0,0,0,0
2018-00441,1,0,0,0,0,0,0,0,1,0,0
2018-03854,1,0,0,0,0,0,0,0,1,0,0
2018-01211,1,0,0,1,1,0,0,0,0,0,0
2018-01839,1,0,0,1,1,0,0,0,0,0,0
2018-03098,0,0,1,0,1,0,0,0,0,0,0
2018-02642,1,0,0,1,1,0,0,0,0,0,0
2018-03866,1,0,0,1,1,0,0,0,0,0,0
2018-03439,1,0,0,1,1,0,0,0,0,0,0
2018-00280,1,0,0,1,1,0,0,0,0,0,0
2018-00987,1,0,0,1,1,0,0,0,0,0,0
2018-03588,0,0,0,0,1,0,0,0,1,0,0
2018-01466,1,0,1,0,0,0,0,0,0,0,0
2018-02606,0,0,1,0,1,0,0,0,0,0,0
2018-02173,0,0,1,0,1,0,0,0,0,0,0
2018-02558,1,0,0,1,1,0,0,0,0,0,0
2018-03774,0,0,0,0,1,0,0,0,1,0,0
2018-02467,1,0,0,1,1,0,0,0,0,0,0
2018-03735,1,0,0,1,1,0,0,0,0,0,0
2018-01369,1,0,0,1,1,0,0,0,0,0,0
2018-00056,1,0,0,1,1,0,0,0,0,0,0
2018-04083,1,0,0,1,1,0,0,0,0,0,0
2018-02490,1,0,0,1,1,0,0,0,0,0,0
2018-03944,0,0,0,0,1,0,0,0,1,0,0
2018-00947,1,0,0,1,1,0,0,0,0,0,0
2018-03089,1,0,0,1,1,0,0,0,0,0,0
2018-03209,1,0,0,1,1,0,0,0,0,0,0
2018-02176,0,0,1,0,1,0,0,0,0,0,0
2018-02435,0,0,1,0,1,0,0,0,0,0,0
2018-00751,0,0,1,0,1,0,0,0,0,0,0
2018-03639,0,0,0,0,1,0,0,0,1,0,0
2018-03127,0,0,1,0,1,0,0,0,0,0,0
2018-03297,0,0,0,0,1,0,0,0,1,0,0
2018-03600,0,0,0,0,1,0,0,0,1,0,0
2018-00172,1,0,0,0,0,0,0,0,1,0,0
2018-03903,1,0,0,1,1,0,0,0,0,0,0
2018-02172,0,0,1,0,1,0,0,0,0,0,0
2018-00513,0,0,1,0,1,0,0,0,0,0,0
2018-00327,0,0,1,0,1,0,0,0,0,0,0
2018-00475,1,0,0,1,1,0,0,0,0,0,0
2018-02694,1,0,0,1,1,0,0,0,0,0,0
2018-02203,1,0,0,1,1,0,0,0,0,0,0
2018-03284,1,0,0,1,1,0,0,0,0,0,0
2018-01843,1,0,0,1,1,0,0,0,0,0,0
2018-00668,0,0,1,0,1,0,0,0,0,0,0
2018-01622,1,0,0,1,1,0,0,0,0,0,0
2018-02196,1,0,0,1,1,0,0,0,0,0,0
2018-02420,1,0,0,1,1,0,0,0,0,0,0
2018-01845,1,0,0,1,1,0,0,0,0,0,0
2018-01316,0,0,1,0,1,0,0,0,0,0,0
2018-00246,1,0,0,1,1,0,0,0,0,0,0
2018-03216,1,0,0,1,1,0,0,0,0,0,0
2018-03768,1,0,0,1,1,0,0,0,0,0,0
2018-02715,1,0,0,1,1,0,0,0,0,0,0
2018-03416,1,0,0,1,1,0,0,0,0,0,0
2018-00582,1,0,0,1,1,0,0,0,0,0,0
2018-01241,1,0,0,1,1,0,0,0,0,0,0
2018-02664,1,0,0,1,1,0,0,0,0,0,0
2018-01802,1,0,0,1,1,0,0,0,0,0,0
2018-03847,1,0,0,1,1,0,0,0,0,0,0
2018-00554,0,0,0,0,1,0,0,0,1,0,0
2018-03857,1,0,0,1,1,0,0,0,0,0,0
2018-03647,0,0,0,0,1,0,0,0,1,0,0
2018-04007,1,0,0,1,1,0,0,0,0,0,0
2018-04195,1,0,0,1,1,0,0,0,0,0,0
2018-04341,1,0,1,0,0,0,0,0,0,0,0
2018-02513,1,0,0,1,1,0,0,0,0,0,0
2018-00301,1,0,0,1,1,0,0,0,0,0,0
2018-01182,1,0,0,1,1,0,0,0,0,0,0
2018-01747,1,0,0,1,1,0,0,0,0,0,0
2018-01323,1,0,0,1,1,0,0,0,0,0,0
2018-01281,1,0,0,0,0,0,0,0,1,0,0
2018-02652,1,0,0,1,1,0,0,0,0,0,0
2018-03455,1,0,0,1,1,0,0,0,0,0,0
2018-00382,1,0,0,1,1,0,0,0,0,0,0
2018-03168,0,0,1,0,1,0,0,0,0,0,0
2018-00192,0,0,1,0,1,0,0,0,0,0,0
2018-03277,0,0,0,0,1,0,0,0,1,0,0
2018-01467,0,0,0,0,1,0,0,0,1,0,0
2018-03468,1,0,0,1,1,0,0,0,0,0,0
2018-03303,1,0,0,0,0,0,0,0,1,0,0
2018-01652,1,0,0,1,1,0,0,0,0,0,0
2018-01439,0,0,0,0,1,0,0,0,1,0,0
2018-02166,1,0,0,1,1,0,0,0,0,0,0
2018-00374,0,0,0,0,1,0,0,0,1,0,0
2018-02686,1,0,0,1,1,0,0,0,0,0,0
2018-03196,1,0,0,1,1,0,0,0,0,0,0
2018-02950,1,0,0,1,1,0,0,0,0,0,0
2018-03963,0,0,0,0,1,0,0,0,1,0,0
2018-00271,1,0,0,1,1,0,0,0,0,0,0
2018-01423,0,0,1,0,1,0,0,0,0,0,0
2018-01769,0,0,1,0,1,0,0,0,0,0,0
2018-02128,1,0,0,1,1,0,0,0,0,0,0
2018-01438,1,0,0,1,1,0,0,0,0,0,0
2018-03496,1,0,0,0,0,0,0,0,1,0,0
2018-03869,1,0,0,1,1,0,0,0,0,0,0
2018-01672,0,0,0,0,1,0,0,0,1,0,0
2018-03423,1,0,0,1,1,0,0,0,0,0,0
2018-00494,0,0,0,0,1,0,0,0,1,0,0
2018-00020,0,0,0,0,1,0,0,0,1,0,0
2018-00472,1,0,0,1,1,0,0,0,0,0,0
2018-01732,1,0,0,1,1,0,0,0,0,0,0
2018-01547,0,0,1,0,1,0,0,0,0,0,0
2018-03241,1,0,0,1,1,0,0,0,0,0,0
2018-03307,1,0,0,1,1,0,0,0,0,0,0
2018-03479,1,0,0,1,1,0,0,0,0,0,0
2018-02478,0,0,1,0,1,0,0,0,0,0,0
2018-02556,0,0,0,0,1,0,0,0,1,0,0
2018-02874,1,0,0,1,1,0,0,0,0,0,0
2018-03009,1,0,0,0,0,0,0,0,1,0,0
2018-02792,1,0,0,1,1,0,0,0,0,0,0
2018-02254,1,0,0,1,1,0,0,0,0,0,0
2018-03138,1,0,0,1,1,0,0,0,0,0,0
2018-03645,1,0,0,1,1,0,0,0,0,0,0
2018-02754,1,0,0,1,1,0,0,0,0,0,0
2018-04119,1,0,0,1,1,0,0,0,0,0,0
2018-01222,1,0,0,1,1,0,0,0,0,0,0
2018-03491,1,0,0,1,1,0,0,0,0,0,0
2018-01086,1,0,0,0,0,0,0,0,1,0,0
2018-02983,1,0,0,1,1,0,0,0,0,0,0
2018-03978,0,0,0,0,1,0,0,0,1,0,0
2018-01442,1,0,0,0,0,0,0,0,1,0,0
2018-03027,1,0,0,0,0,0,0,0,1,0,0
2018-03512,1,0,0,1,1,0,0,0,0,0,0
2018-03420,0,0,0,0,1,0,0,0,1,0,0
2018-03786,1,0,0,1,1,0,0,0,0,0,0
2018-03946,0,0,1,0,1,0,0,0,0,0,0
2018-00395,0,0,1,0,1,0,0,0,0,0,0
2018-02136,1,0,0,1,1,0,0,0,0,0,0
2018-02779,0,0,1,0,1,0,0,0,0,0,0
2018-04295,1,0,0,1,1,0,0,0,0,0,0
2018-01064,0,0,0,0,1,0,0,0,1,0,0
2018-03764,1,0,0,0,0,0,0,0,1,0,0
2018-02985,0,0,1,0,1,0,0,0,0,0,0
2018-02618,0,0,1,0,1,0,0,0,0,0,0
2018-00213,1,0,0,1,1,0,0,0,0,0,0
2018-01966,1,0,0,0,0,0,0,0,1,0,0
2018-00140,0,0,0,0,1,0,0,0,1,0,0
